Count,Filename_0,Dev6/ai0,Dev6/ai1,,Load (N),displacement(mm)
141,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00141_0.tif,4.3533,0.9078,,1305.99,9.078
142,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00142_0.tif,4.3431,0.918,,1302.93,9.18
143,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00143_0.tif,4.3329,0.9231,,1299.87,9.231
144,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00144_0.tif,4.3227,0.9332,,1296.81,9.332
145,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00145_0.tif,4.3075,0.9434,,1292.25,9.434
146,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00146_0.tif,4.2973,0.9485,,1289.19,9.485
147,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00147_0.tif,4.282,0.9485,,1284.6,9.485
148,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00148_0.tif,4.2719,0.9587,,1281.57,9.587
149,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00149_0.tif,4.2566,0.9689,,1276.98,9.689
150,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00150_0.tif,4.2464,0.9739,,1273.92,9.739
151,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00151_0.tif,4.2312,0.979,,1269.36,9.79
152,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00152_0.tif,4.2159,0.9841,,1264.77,9.841
153,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00153_0.tif,4.2058,0.9892,,1261.74,9.892
154,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00154_0.tif,4.1956,0.9943,,1258.68,9.943
155,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00155_0.tif,4.1803,1.0045,,1254.09,10.045
156,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00156_0.tif,4.1702,1.0096,,1251.06,10.096
157,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00157_0.tif,4.1549,1.0197,,1246.47,10.197
158,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00158_0.tif,4.1396,1.0248,,1241.88,10.248
159,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00159_0.tif,4.1244,1.0299,,1237.32,10.299
160,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00160_0.tif,4.1142,1.0401,,1234.26,10.401
161,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00161_0.tif,4.0989,1.0452,,1229.67,10.452
162,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00162_0.tif,4.0837,1.0503,,1225.11,10.503
163,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00163_0.tif,4.0735,1.0604,,1222.05,10.604
164,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00164_0.tif,4.0583,1.0655,,1217.49,10.655
165,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00165_0.tif,4.043,1.0706,,1212.9,10.706
166,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00166_0.tif,4.0328,1.0808,,1209.84,10.808
167,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00167_0.tif,4.0227,1.0859,,1206.81,10.859
168,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00168_0.tif,4.0074,1.091,,1202.22,10.91
169,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00169_0.tif,3.9921,1.0961,,1197.63,10.961
170,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00170_0.tif,3.982,1.1062,,1194.6,11.062
171,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00171_0.tif,3.9667,1.1113,,1190.01,11.113
172,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00172_0.tif,3.9514,1.1215,,1185.42,11.215
173,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00173_0.tif,3.9362,1.1266,,1180.86,11.266
174,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00174_0.tif,3.9209,1.1317,,1176.27,11.317
175,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00175_0.tif,3.9108,1.1368,,1173.24,11.368
176,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00176_0.tif,3.8955,1.1469,,1168.65,11.469
177,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00177_0.tif,3.8802,1.152,,1164.06,11.52
178,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00178_0.tif,3.8701,1.1571,,1161.03,11.571
179,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00179_0.tif,3.8599,1.1673,,1157.97,11.673
180,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00180_0.tif,3.8446,1.1724,,1153.38,11.724
181,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00181_0.tif,3.8345,1.1775,,1150.35,11.775
182,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00182_0.tif,3.8192,1.1876,,1145.76,11.876
183,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00183_0.tif,3.8039,1.1927,,1141.17,11.927
184,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00184_0.tif,3.7887,1.1978,,1136.61,11.978
185,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00185_0.tif,3.7785,1.208,,1133.55,12.08
186,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00186_0.tif,3.7683,1.2131,,1130.49,12.131
187,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00187_0.tif,3.7531,1.2182,,1125.93,12.182
188,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00188_0.tif,3.7429,1.2283,,1122.87,12.283
189,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00189_0.tif,3.7277,1.2334,,1118.31,12.334
190,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00190_0.tif,3.7175,1.2385,,1115.25,12.385
191,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00191_0.tif,3.7022,1.2436,,1110.66,12.436
192,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00192_0.tif,3.692,1.2538,,1107.6,12.538
193,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00193_0.tif,3.6768,1.2589,,1103.04,12.589
194,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00194_0.tif,3.6666,1.2639,,1099.98,12.639
195,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00195_0.tif,3.6514,1.269,,1095.42,12.69
196,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00196_0.tif,3.6412,1.2792,,1092.36,12.792
197,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00197_0.tif,3.6259,1.2843,,1087.77,12.843
198,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00198_0.tif,3.6158,1.2945,,1084.74,12.945
199,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00199_0.tif,3.6005,1.2996,,1080.15,12.996
200,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00200_0.tif,3.5852,1.3046,,1075.56,13.046
201,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00201_0.tif,3.5751,1.3097,,1072.53,13.097
202,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00202_0.tif,3.5598,1.3199,,1067.94,13.199
203,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00203_0.tif,3.5496,1.325,,1064.88,13.25
204,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00204_0.tif,3.5344,1.3301,,1060.32,13.301
205,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00205_0.tif,3.5191,1.3403,,1055.73,13.403
206,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00206_0.tif,3.5089,1.3453,,1052.67,13.453
207,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00207_0.tif,3.4937,1.3555,,1048.11,13.555
208,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00208_0.tif,3.4784,1.3606,,1043.52,13.606
209,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00209_0.tif,3.4683,1.3657,,1040.49,13.657
